Date,Open,High,Low,Close,Adj Close,Volume,Day
3/5/2019,102.809998,103.144997,102.410004,102.449997,97.275154,727200,1371
3/6/2019,102.410004,103.169998,101.455002,101.489998,96.363655,469200,1372
3/7/2019,101.269997,101.275002,99.735001,100.745003,95.656288,473800,1373
3/8/2019,99.879997,100.519997,99.610001,100.489998,95.414162,419000,1374
3/11/2019,98.114998,100.224998,97.584999,100.184998,95.124565,1102800,1375
3/12/2019,99.5,99.849998,98.754997,99.165001,94.156097,605000,1376
3/13/2019,99.459999,100.345001,99.059998,99.82,94.778008,935200,1377
3/14/2019,99.830002,100.190002,99.110001,99.120003,94.113358,351000,1378
3/15/2019,99.32,99.540001,98.315002,98.959999,93.961456,820600,1379
3/18/2019,98.474998,99.714996,98.385002,99.639999,94.607101,353600,1380
3/19/2019,99.709999,100.724998,99.080002,99.445,94.421944,902600,1381
3/20/2019,98.879997,99.625,98.375,98.779999,94.066757,381200,1382
3/21/2019,98.464996,99.705002,98.125,99.535004,94.785721,260400,1383
3/22/2019,98.855003,99.029999,96.989998,97.139999,92.504997,767600,1384
3/25/2019,97.135002,97.955002,97.099998,97.839996,93.1716,395800,1385
3/26/2019,98.449997,98.980003,97.309998,97.974998,93.300171,317800,1386
3/27/2019,97.974998,98.695,97.150002,98.010002,93.333488,284600,1387
3/28/2019,98.220001,98.815002,97.93,98.695,93.985802,217200,1388
3/29/2019,99.199997,99.879997,99,99.790001,95.028557,373400,1389
4/1/2019,100.699997,102.184998,100.410004,102.040001,97.171204,429000,1390
4/2/2019,101.955002,102.235001,101.290001,101.394997,96.556961,498200,1391
4/3/2019,100.720001,101.790001,99.879997,100.18,95.399963,631800,1392
4/4/2019,100.230003,102.050003,100.230003,101.589996,96.742668,364200,1393
4/5/2019,102.169998,102.254997,101.745003,102.165001,97.29023,487400,1394
4/8/2019,100.485001,101.245003,100.199997,101.190002,96.361763,342800,1395
4/9/2019,100.540001,100.540001,99.709999,99.934998,95.166626,386800,1396
4/10/2019,99.934998,99.934998,99.099998,99.625,94.871422,361200,1397
4/11/2019,99.690002,101.025002,99.629997,100.93,96.114166,292000,1398
4/12/2019,101.184998,102.574997,101.184998,102.519997,97.628273,272600,1399
4/15/2019,102.5,102.550003,101.644997,101.695,96.842667,268600,1400
4/16/2019,102.010002,102.745003,101.925003,102.459999,97.571159,207000,1401
4/17/2019,102.754997,103.125,101.815002,101.974998,97.109283,264200,1402
4/18/2019,101.949997,102.970001,101.754997,102.830002,97.923508,146800,1403
4/22/2019,102.400002,102.860001,101.980003,102.519997,97.628273,147600,1404
4/23/2019,103.705002,104.925003,103.559998,104.514999,99.528114,365200,1405
4/24/2019,105,105.18,104.105003,104.105003,99.137665,202400,1406
4/25/2019,103.870003,104.330002,102.625,104.035004,99.071022,192800,1407
4/26/2019,104.235001,104.5,103.985001,104.464996,99.480484,139400,1408
4/29/2019,104.324997,105.279999,104.214996,104.620003,99.628098,158800,1409
4/30/2019,104.610001,105.044998,104.120003,104.809998,99.809036,203600,1410
5/1/2019,105.25,106.5,105.019997,105.050003,100.037582,224600,1411
5/2/2019,104.864998,104.864998,103.760002,104.519997,99.53286,309600,1412
5/3/2019,104.639999,105.650002,104.639999,105.599998,100.56134,1284600,1413
5/6/2019,103.650002,105.410004,103.445,105.245003,100.223267,341200,1414
5/7/2019,104.360001,104.360001,102.190002,102.705002,97.804459,405800,1415
5/8/2019,102.540001,104.080002,102.510002,103.584999,98.642487,348400,1416
5/9/2019,102.495003,103.68,101.900002,103.635002,98.690102,378000,1417
5/10/2019,103.089996,104.074997,101.980003,103.985001,99.023384,194400,1418
5/13/2019,101.074997,102,100.245003,100.964996,96.147491,503600,1419
5/14/2019,101.264999,102.660004,101.080002,101.995003,97.128342,246400,1420
5/15/2019,101.195,102.57,100.445,102.105003,97.233093,263400,1421
5/16/2019,102.449997,103.815002,102.449997,103.644997,98.699608,272800,1422
5/17/2019,102.790001,103.980003,102.699997,102.849998,97.942543,251000,1423
5/20/2019,102.224998,103.205002,102.114998,102.889999,97.980659,152200,1424
5/21/2019,104.035004,104.57,103.324997,104.525002,99.537621,252000,1425
5/22/2019,104.135002,104.345001,103.824997,103.955002,98.99482,136600,1426
5/23/2019,102.875,102.875,101.485001,102.260002,97.380699,274000,1427
5/24/2019,102.779999,103.339996,102.419998,102.75,97.847305,159800,1428
5/28/2019,102.785004,103.489998,102.349998,102.355003,97.471169,137200,1429
5/29/2019,102.220001,102.339996,101.43,102.114998,97.242622,477000,1430
5/30/2019,102.254997,102.894997,101.834999,102.195,97.318794,346200,1431
5/31/2019,101.040001,101.695,100.860001,100.970001,96.15226,145200,1432
6/3/2019,100.625,101.855003,100.464996,101.510002,96.666481,153400,1433
6/4/2019,102.360001,103.68,102.114998,103.595001,98.652008,137400,1434
6/5/2019,103.940002,105.105003,103.940002,105.074997,100.061378,196600,1435
6/6/2019,105.285004,105.620003,104.394997,105.360001,100.332787,184000,1436
6/7/2019,105.870003,106.25,105.360001,105.980003,100.923195,265200,1437
6/10/2019,107.5,107.5,105.264999,105.330002,100.304214,459000,1438
6/11/2019,105.760002,105.989998,102.364998,102.894997,97.985405,314200,1439
6/12/2019,102.849998,103.294998,102.385002,103.209999,98.285355,181800,1440
6/13/2019,103.589996,104.125,102.730003,104.105003,99.137665,401000,1441
6/14/2019,103.945,104.07,103.495003,103.625,98.68058,182200,1442
6/17/2019,103.400002,103.790001,102.57,103.459999,98.816185,139400,1443
6/18/2019,104.014999,105.93,104,105.879997,101.127571,368400,1444
6/19/2019,106.055,106.264999,105.580002,106.025002,101.266075,398200,1445
6/20/2019,107.019997,108.095001,106.739998,107.955002,103.109436,580600,1446
6/21/2019,107.775002,108.25,107.110001,107.264999,102.450417,249000,1447
6/24/2019,107.419998,108.220001,107.419998,107.595001,102.765594,207400,1448
6/25/2019,107.68,107.68,106.669998,106.760002,101.968079,274400,1449
6/26/2019,107.040001,107.355003,106.595001,106.730003,101.939423,225000,1450
6/27/2019,106.43,106.605003,105.739998,106.18,101.414101,380400,1451
6/28/2019,106.525002,107.290001,105.875,107.105003,102.297585,310400,1452
7/1/2019,108.169998,108.169998,106.105003,106.144997,101.380676,1427400,1453
7/2/2019,106.214996,106.889999,106.065002,106.839996,102.044479,757400,1454
7/3/2019,106.875,107.235001,106.5,107.235001,102.421753,205400,1455
7/5/2019,107.050003,107.279999,105.985001,107.279999,102.464737,243200,1456
7/8/2019,106.5,106.699997,105.775002,106.214996,101.447548,198800,1457
7/9/2019,105.519997,106.839996,105.269997,106.760002,101.968079,201000,1458
7/10/2019,107.220001,107.68,106.574997,106.699997,101.910759,253400,1459
7/11/2019,106.709999,107.709999,106.370003,107.525002,102.69873,339800,1460
7/12/2019,107.945,108.945,107.779999,108.900002,104.012016,180000,1461
7/15/2019,108.705002,108.705002,107.915001,108.169998,103.314781,344200,1462
7/16/2019,108.089996,108.714996,108.089996,108.410004,103.544022,162200,1463
7/17/2019,108.165001,108.230003,107.504997,107.514999,102.689171,193800,1464
7/18/2019,107.445,107.5,106.315002,106.955002,102.154312,195600,1465
7/19/2019,107.699997,108.925003,107.699997,108.480003,103.610886,266800,1466
7/22/2019,108.5,109,108.014999,108.415001,103.54879,193600,1467
7/23/2019,109.514999,109.514999,108.18,109.110001,104.212593,270200,1468
7/24/2019,108.565002,110.300003,108.5,109.495003,104.580322,267400,1469
7/25/2019,109.375,109.919998,108.714996,109.264999,104.360649,162600,1470
7/26/2019,109.055,109.239998,108.485001,108.714996,103.835327,229000,1471
7/29/2019,108.839996,108.870003,107.985001,108.195,103.338646,118200,1472
7/30/2019,107.75,108.389999,107.264999,108.364998,103.501022,182600,1473
7/31/2019,108.464996,109.449997,107.260002,107.639999,102.808571,222800,1474
8/1/2019,107.690002,108.285004,105.879997,106.055,101.294708,228400,1475
8/2/2019,105.775002,106.195,104.580002,105.660004,100.917458,210000,1476
8/5/2019,103.940002,104.25,102.095001,103.279999,98.644257,542000,1477
8/6/2019,104.035004,106.004997,104.035004,105.915001,101.160995,667400,1478
8/7/2019,104.879997,106.904999,104.235001,106.480003,101.700653,680000,1479
8/8/2019,107.019997,108.964996,106.995003,108.834999,103.949944,541800,1480
8/9/2019,108.464996,108.769997,107.540001,108.18,103.324341,212200,1481
8/12/2019,107.714996,107.714996,106.334999,106.675003,101.886894,225600,1482
8/13/2019,106.455002,108.010002,106.455002,107.114998,102.307129,247800,1483
8/14/2019,105.964996,106,104.025002,104.290001,99.60894,662400,1484
8/15/2019,104.535004,105.57,103.964996,105.300003,100.573624,204000,1485
8/16/2019,106.025002,106.709999,105.644997,106.489998,101.710197,215200,1486
8/19/2019,107.525002,107.945,107.275002,107.660004,102.82769,196800,1487
8/20/2019,107.400002,107.910004,107.095001,107.665001,102.832451,196600,1488
8/21/2019,108.389999,109.014999,108.019997,108.559998,103.687263,144600,1489
8/22/2019,108.794998,110.160004,108.555,109.790001,104.862068,289400,1490
8/23/2019,109.43,111.055,107.205002,107.675003,102.841995,371200,1491
8/26/2019,108.900002,109.559998,107.629997,108.815002,103.930824,273400,1492
8/27/2019,109.214996,109.214996,107.514999,107.93,103.085564,272200,1493
8/28/2019,107.735001,109.275002,106.894997,109.154999,104.255569,182800,1494
8/29/2019,110.050003,110.839996,109.724998,110.610001,105.645279,227400,1495
8/30/2019,111.050003,111.470001,110.68,110.904999,105.927025,220200,1496
9/3/2019,109.824997,109.860001,108.745003,109.720001,104.795219,1240200,1497
9/4/2019,110.525002,110.995003,110.339996,110.794998,105.821968,166800,1498
9/5/2019,111.675003,112.599998,111.445,111.614998,106.605164,304200,1499
9/6/2019,111.720001,112.620003,111.720001,112.150002,107.116173,231800,1500
9/9/2019,112.150002,112.214996,110.620003,110.730003,105.759888,170000,1501
9/10/2019,110.495003,111.385002,109.205002,111.385002,106.385483,278400,1502
9/11/2019,111.489998,112.889999,111.160004,112.849998,107.784714,242800,1503
9/12/2019,113.404999,113.635002,112.580002,113.25,108.166779,329200,1504
9/13/2019,113.775002,114.264999,113.105003,113.760002,108.653893,309000,1505
9/16/2019,114.279999,115.300003,113.845001,114.934998,109.776154,728200,1506
9/17/2019,114.949997,115.485001,114.165001,115.279999,110.105652,363200,1507
9/18/2019,115.375,115.584999,114.32,115.559998,110.3731,342200,1508
9/19/2019,115.565002,115.989998,114.925003,115.014999,109.85257,205200,1509
9/20/2019,115.199997,115.474998,113.315002,113.464996,108.372124,280400,1510
9/23/2019,113.245003,113.730003,112.695,113.25,108.166779,186600,1511
9/24/2019,113.519997,113.610001,112.135002,112.93,108.140434,254400,1512
9/25/2019,112.870003,114.110001,112.815002,113.875,109.045349,521400,1513
9/26/2019,114.330002,114.330002,113.394997,113.870003,109.040581,252000,1514
9/27/2019,114.370003,114.400002,112.165001,112.544998,107.771774,253800,1515
